date,id,episode,episodes_on_id,kind,severity,basis,severity_end,basis_end,first_tick,last_tick,n_ticks,lifetime_min,impact_leg,impact_leg_first,n_legs,self_scored,has_plans,late_min,quality,scorable,late_15,impact_trip,mut_kind,mut_severity,mut_basis,mut_impact_leg,mut_n_legs,mut_impact_at
2026-08-18,overlap:24209:27535,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,10:36,11:00,9,24,27535,27535,2,0,0,24.3,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,overlap:34465:33773,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:36,11:09,12,33,33773,33773,2,0,1,24.4,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,late_cascade:28633,1,1,late_cascade,critical,clock_only,critical,clock_only,11:03,11:12,4,9,33037,28633,2,0,1,-7.1,ok,1,0,return,0,0,0,1,1,1
2026-08-18,late_cascade:32058,1,1,late_cascade,critical,clock_only,critical,clock_only,11:06,11:06,1,0,32058,32058,1,1,0,80.0,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,late_cascade:33123,1,1,late_cascade,critical,clock_only,critical,clock_only,11:06,11:33,10,27,34855,30444,3,0,1,13.9,ok,1,0,arrival,0,0,0,1,1,0
2026-08-18,overlap:28633:33037,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,11:15,11:42,10,27,33037,33037,2,0,1,-7.1,ok,1,0,return,0,0,0,0,0,0
2026-08-18,late_cascade:30466,1,1,late_cascade,critical,clock_only,watch,clock_only,11:24,11:54,11,30,30466,30070,1,1,1,22.1,ok,1,1,arrival,0,1,0,1,1,1
2026-08-18,overlap:30466:30070,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,11:57,12:21,9,24,30070,30070,2,0,1,12.2,ok,1,0,arrival,0,0,0,0,0,0
2026-08-18,late_cascade:21285,1,1,late_cascade,critical,clock_only,critical,clock_only,12:06,12:48,15,42,21285,21285,1,1,0,,none,0,,arrival,0,0,0,0,0,0
2026-08-18,overlap:27535:29923,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,12:21,13:27,23,66,29923,29923,2,0,1,-6.2,ok,1,0,return,0,0,0,0,0,0
2026-08-18,late_cascade:10800,1,1,late_cascade,critical,clock_only,critical,clock_only,12:27,12:45,7,18,27518,24122,3,0,1,0.7,ok,1,0,arrival,0,0,0,1,1,0
2026-08-18,overlap:10800:24122,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,12:48,13:15,10,27,24122,24122,2,0,1,-12.7,ok,1,0,return,0,0,0,0,0,1
2026-08-18,late_cascade:31231,1,1,late_cascade,critical,clock_only,watch,clock_only,14:33,15:21,17,48,31231,31231,1,1,0,87.5,ok,1,1,arrival,0,1,0,0,0,0
2026-08-18,late_cascade:25626,1,1,late_cascade,critical,clock_only,critical,clock_only,15:03,15:30,10,27,25626,25626,1,1,0,,none,0,,return,0,0,0,0,0,0
2026-08-18,overlap:31231:20964,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,15:24,16:24,21,60,20964,20964,2,0,1,-15.0,ok,1,0,arrival,0,0,0,0,0,1
2026-08-18,late_cascade:31678,1,1,late_cascade,critical,clock_only,critical,clock_only,16:33,17:06,12,33,34449,31678,2,0,1,,none,0,,arrival,0,0,0,1,1,2
2026-08-18,late_cascade:33640,1,1,late_cascade,critical,clock_only,critical,clock_only,16:51,16:51,1,0,33640,33640,1,1,0,40.9,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,late_cascade:9118,1,1,late_cascade,watch,clock_only,watch,clock_only,17:09,18:36,30,87,9118,9118,1,1,0,8.9,ok,1,0,cruise,0,0,0,0,0,0
2026-08-18,late_cascade:28106,1,1,late_cascade,critical,clock_only,critical,clock_only,17:18,17:39,8,21,28106,28106,1,1,0,60.3,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,unassigned:25567,1,1,unassigned,warning,clock_only,warning,clock_only,17:18,17:24,3,6,25567,25567,1,1,1,16.1,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,late_cascade:34449,1,1,late_cascade,critical,clock_only,critical,clock_only,17:36,18:15,14,39,34449,34449,1,1,0,,none,0,,arrival,0,0,0,0,0,0
