date,tick,estimates,ms,cards,error
2026-07-26,15:45,live,37,1,
2026-07-26,15:30,live,38,1,
2026-07-26,15:15,live,37,1,
2026-07-26,15:00,live,182,2,
2026-07-26,14:45,live,152,2,
2026-07-26,14:30,live,48,3,
2026-07-26,14:15,live,49,3,
2026-07-26,14:00,live,72,3,
2026-07-26,13:45,live,137,6,
2026-07-26,13:30,live,109,6,
2026-07-26,13:15,live,50,5,
2026-07-26,13:00,live,194,6,
2026-07-26,12:45,live,246,7,
2026-07-26,12:30,live,329,7,
2026-07-26,12:15,live,328,8,
2026-07-26,12:00,live,329,7,
2026-07-26,11:45,live,490,8,
2026-07-26,11:30,live,461,7,
2026-07-26,11:15,live,509,8,
2026-07-26,11:00,live,403,9,
2026-07-26,10:45,live,488,9,
2026-07-26,10:30,live,389,8,
2026-07-26,10:15,live,137,7,
2026-07-26,10:00,live,222,7,
2026-07-26,09:45,live,315,13,
2026-07-26,09:30,live,358,13,
2026-07-26,09:15,live,365,14,
2026-07-26,09:00,live,665,12,
2026-07-26,08:45,live,447,16,
2026-07-26,08:30,live,566,14,
2026-07-26,08:15,live,548,15,
2026-07-26,08:00,live,549,13,
2026-07-26,07:45,live,395,14,
2026-07-26,07:30,live,400,14,
2026-07-26,07:15,live,416,13,
2026-07-26,07:00,live,381,13,
2026-07-26,06:45,live,377,13,
2026-07-26,06:30,live,320,14,
2026-07-26,06:15,live,299,15,
2026-07-26,06:00,live,380,14,
2026-07-26,23:00,masked,36,0,
2026-07-26,22:45,masked,59,0,
2026-07-26,22:30,masked,36,0,
2026-07-26,22:15,masked,35,0,
2026-07-26,22:00,masked,36,0,
2026-07-26,21:45,masked,35,0,
2026-07-26,21:30,masked,61,1,
2026-07-26,21:15,masked,36,1,
2026-07-26,21:00,masked,36,1,
2026-07-26,20:45,masked,36,1,
2026-07-26,20:30,masked,59,0,
2026-07-26,20:15,masked,36,0,
2026-07-26,20:00,masked,36,0,
2026-07-26,19:45,masked,36,0,
2026-07-26,19:30,masked,59,1,
2026-07-26,19:15,masked,36,1,
2026-07-26,19:00,masked,36,0,
2026-07-26,18:45,masked,36,2,
2026-07-26,18:30,masked,36,2,
2026-07-26,18:15,masked,61,2,
2026-07-26,18:00,masked,36,1,
2026-07-26,17:45,masked,36,2,
2026-07-26,17:30,masked,36,2,
2026-07-26,17:15,masked,59,2,
2026-07-26,17:00,masked,37,2,
2026-07-26,16:45,masked,38,2,
2026-07-26,16:30,masked,37,1,
2026-07-26,16:15,masked,60,1,
2026-07-26,16:00,masked,37,1,
2026-07-26,15:45,masked,38,1,
2026-07-26,15:30,masked,37,1,
2026-07-26,15:15,masked,37,1,
2026-07-26,15:00,masked,62,1,
2026-07-26,14:45,masked,37,1,
2026-07-26,14:30,masked,38,1,
2026-07-26,14:15,masked,39,1,
2026-07-26,14:00,masked,61,1,
2026-07-26,13:45,masked,196,5,
2026-07-26,13:30,masked,166,4,
2026-07-26,13:15,masked,109,3,
2026-07-26,13:00,masked,302,4,
2026-07-26,12:45,masked,279,5,
2026-07-26,12:30,masked,385,5,
2026-07-26,12:15,masked,387,6,
2026-07-26,12:00,masked,409,5,
2026-07-26,11:45,masked,533,6,
2026-07-26,11:30,masked,539,6,
2026-07-26,11:15,masked,563,7,
2026-07-26,11:00,masked,448,8,
2026-07-26,10:45,masked,541,8,
2026-07-26,10:30,masked,441,7,
2026-07-26,10:15,masked,215,6,
2026-07-26,10:00,masked,289,6,
2026-07-26,09:45,masked,596,11,
2026-07-26,09:30,masked,648,11,
2026-07-26,09:15,masked,654,11,
2026-07-26,09:00,masked,805,9,
2026-07-26,08:45,masked,759,13,
2026-07-26,08:30,masked,864,12,
2026-07-26,08:15,masked,878,13,
2026-07-26,08:00,masked,885,11,
2026-07-26,07:45,masked,674,12,
2026-07-26,07:30,masked,652,12,
2026-07-26,07:15,masked,516,11,
2026-07-26,07:00,masked,480,11,
2026-07-26,06:45,masked,338,11,
2026-07-26,06:30,masked,320,12,
2026-07-26,06:15,masked,297,13,
2026-07-26,06:00,masked,340,12,
2026-07-27,23:00,live,33,0,
2026-07-27,22:45,live,26,1,
2026-07-27,22:30,live,49,0,
2026-07-27,22:15,live,26,0,
2026-07-27,22:00,live,27,1,
2026-07-27,21:45,live,27,1,
2026-07-27,21:30,live,28,1,
2026-07-27,21:15,live,26,1,
2026-07-27,21:00,live,50,1,
2026-07-27,20:45,live,26,1,
2026-07-27,20:30,live,26,1,
2026-07-27,20:15,live,26,1,
2026-07-27,20:00,live,26,1,
2026-07-27,19:45,live,26,1,
2026-07-27,19:30,live,26,0,
2026-07-27,19:15,live,49,0,
2026-07-27,19:00,live,26,0,
2026-07-27,18:45,live,26,1,
2026-07-27,18:30,live,26,1,
2026-07-27,18:15,live,26,1,
2026-07-27,18:00,live,26,2,
2026-07-27,17:45,live,50,1,
2026-07-27,17:30,live,26,1,
2026-07-27,17:15,live,27,1,
2026-07-27,17:00,live,26,1,
2026-07-27,16:45,live,26,1,
2026-07-27,16:30,live,26,0,
2026-07-27,16:15,live,26,0,
2026-07-27,16:00,live,50,0,
2026-07-27,15:45,live,26,0,
