pickup_text,dropoff_text,drive_minutes,distance_text,status,pickup_bucket,dropoff_bucket
"Disney’s Boardwalk, Epcot Resorts Boulevard, Kissimmee, FL, USA","Disney's Caribbean Beach Resort, Cayman Way, Lake Buena Vista, FL, USA",8,1.6 mi,ok,Disney Resort,Disney Resort
"Disney’s Boardwalk, Epcot Resorts Boulevard, Kissimmee, FL, USA","Disney's Coronado Springs Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",7,1.5 mi,ok,Disney Resort,Disney Resort
Evermore Orlando Resort,Disney's Polynesian Village Resort,13,5.8 mi,ok,Disney Resort,Disney Resort
"Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA",Disney's Polynesian Village Resort,6,1.5 mi,ok,Disney Resort,Disney Resort
"Disney's Pop Century Resort, Century Drive, Lake Buena Vista, FL, USA",Disney's Polynesian Village Resort,12,6.4 mi,ok,Disney Resort,Disney Resort
"Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA",Disney's Art of Animation Resort,16,7.0 mi,ok,Disney Resort,Disney Resort
"Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA",Disney's Wilderness Lodge,7,1.5 mi,ok,Disney Resort,Disney Resort
"Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA",Disney's Polynesian Village Resort,12,5.6 mi,ok,Disney Resort,Disney Resort
Disney's Old Key West Resort,"Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",10,4.8 mi,ok,Disney Resort,Disney Resort
"Disney's Wilderness Lodge, Timberline Drive, Lake Buena Vista, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",5,0.9 mi,ok,Disney Resort,Disney Resort
Disney's Grand Floridian Resort & Spa,"Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",8,4.6 mi,ok,Disney Resort,Disney Resort
"Disney's Beach Club Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",11,4.9 mi,ok,Disney Resort,Disney Resort
"Disney's Animal Kingdom Lodge, Osceola Parkway, Lake Buena Vista, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",14,7.5 mi,ok,Disney Resort,Disney Resort
"Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",6,1.5 mi,ok,Disney Resort,Disney Resort
"Disney's Pop Century Resort, Century Drive, Lake Buena Vista, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",13,6.4 mi,ok,Disney Resort,Disney Resort
Disney's All-Star Music Resort,"Disney's Coronado Springs Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",10,2.0 mi,ok,Disney Resort,Disney Resort
"Drury Plaza Hotel Orlando - Disney Springs Area, Hotel Plaza Boulevard, Lake Buena Vista, FL, USA",Conrad Orlando at Evermore,10,4.2 mi,ok,Disney Resort,Disney Resort
"Disney's Coronado Springs Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",Conrad Orlando at Evermore,17,7.3 mi,ok,Disney Resort,Disney Resort
"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",Conrad Orlando at Evermore,18,6.1 mi,ok,Disney Resort,Disney Resort
Disney's Caribbean Beach Resort,Conrad Orlando at Evermore,17,5.6 mi,ok,Disney Resort,Disney Resort
Disney's All-Star Music Resort,"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",10,3.3 mi,ok,Disney Resort,Disney Resort
Disney's All-Star Music Resort,Disney's Pop Century Resort,11,3.9 mi,ok,Disney Resort,Disney Resort
Disney's All-Star Music Resort,"Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",12,6.5 mi,ok,Disney Resort,Disney Resort
Disney's All-Star Music Resort,"Disney's Caribbean Beach Resort, Cayman Way, Lake Buena Vista, FL, USA",11,4.1 mi,ok,Disney Resort,Disney Resort
Disney's BoardWalk Inn,"Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA",12,3.4 mi,ok,Disney Resort,Disney Resort
"Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",12,5.6 mi,ok,Disney Resort,Disney Resort
Evermore Orlando Resort,"Disney's Coronado Springs Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",17,7.8 mi,ok,Disney Resort,Disney Resort
Disney's Grand Floridian Resort & Spa,Conrad Orlando at Evermore,16,8.6 mi,ok,Disney Resort,Disney Resort
"Disney's Pop Century Resort, Century Drive, Lake Buena Vista, Floride, États-Unis","Disney's Caribbean Beach Resort, Cayman Way, Lake Buena Vista, FL, USA",6,1.3 mi,ok,Disney Resort,Disney Resort
"Disney's Coronado Springs Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA","Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",11,2.9 mi,ok,Disney Resort,Disney Resort
"Disney's Beach Club Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Disney's All-Star Movies Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",16,4.2 mi,ok,Disney Resort,Disney Resort
"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA","Disney's Coronado Springs Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",9,2.8 mi,ok,Disney Resort,Disney Resort
"Disney's Port Orleans Resort - French Quarter, Orleans Drive, Lake Buena Vista, FL, USA","The Cabins at Disney's Fort Wilderness Resort, 4510 Fort Wilderness Trail, Lake Buena Vista, FL 32830",8,2.4 mi,ok,Disney Resort,Disney Resort
"Disney's Port Orleans Resort - French Quarter, Orleans Drive, Lake Buena Vista, FL, USA",Disney's Pop Century Resort,12,3.0 mi,ok,Disney Resort,Disney Resort
Magic Kingdom Park,"Bonnet Creek Resort, 9644 Via Encinas, Orlando, FL 32830, United States",16,6.7 mi,ok,Disney Resort,Disney Resort
"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA","Disney's Caribbean Beach Resort, Cayman Way, Lake Buena Vista, FL, USA",7,1.5 mi,ok,Disney Resort,Disney Resort
Disney's Port Orleans Resort - Riverside,Disney's Art of Animation Resort,12,3.4 mi,ok,Disney Resort,Disney Resort
Disney's Old Key West Resort,"Kissimmee Amtrak, 111 E Dakin Ave, Kissimmee, FL 347457231",32,15.6 mi,ok,Disney Resort,Residential
Disney's All-Star Movies Resort,"Drury Plaza Hotel Orlando - Disney Springs Area, Hotel Plaza Boulevard, Lake Buena Vista, FL, USA",18,7.2 mi,ok,Disney Resort,Disney Resort
"Disney's Caribbean Beach Resort, Cayman Way, Lake Buena Vista, FL, USA","Disney's Animal Kingdom Villas - Kidani Village, Osceola Parkway, Bay Lake, FL, USA",15,5.3 mi,ok,Disney Resort,Disney Resort
Disney's Coronado Springs Resort,"Caribbean Beach Club, Estero Boulevard, Fort Myers Beach, FL, USA",205,183 mi,ok,Disney Resort,Disney Resort
Orlando International Airport (MCO),Floridays Resort Orlando,19,15.5 mi,ok,MCO Terminal,Other Hotel
Orlando International Airport (MCO),"133 Town Center Blvd, Clermont, FL",39,28.3 mi,ok,MCO Terminal,Residential
Hilton Grand Vacations Club Tuscany Village Orlando,Magic Kingdom Park,15,8.2 mi,ok,Other Hotel,Disney Resort
Signia by Hilton Orlando,Port Canaveral,64,63.0 mi,ok,Other Hotel,Port Canaveral Area
"133 Town Center Blvd, Clermont, FL",Orlando International Airport (MCO),36,30.5 mi,ok,Residential,MCO Terminal
Radisson Resort at the Port,Disney's Animal Kingdom Lodge,67,67.2 mi,ok,Other Hotel,Disney Resort
"211 E Sumter St, Minneola, FL",Port Canaveral - Royal Carribean Adventure of the Seas,79,77.8 mi,ok,Other Hotel,Port Canaveral Area
"1189 Esperanza Ridge Rd Clermont, FL 34715",Port Canaveral - Royal Carribean Adventure of the Seas,79,75.5 mi,ok,Residential,Port Canaveral Area
Disney's BoardWalk Villas,"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",,,pending,Disney Resort,Disney Resort
"Disney's BoardWalk Villas, Disney's Boardwalk Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Disney's Riviera Resort, Esplanade Avenue, Lake Buena Vista, FL, USA",,,pending,Disney Resort,Disney Resort
Disney's BoardWalk Villas,Disney's Grand Floridian Resort & Spa,,,pending,Disney Resort,Disney Resort
Disney's BoardWalk Villas,"Shades of Green Resort, 1950 W Magnolia Palm Dr, Lake Buena Vista, FL 32830",,,pending,Disney Resort,Disney Resort
"Disney's BoardWalk Villas, Disney's Boardwalk Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA",,,pending,Disney Resort,Disney Resort
"Disney's BoardWalk Villas, Disney's Boardwalk Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Disney's Pop Century Resort, Century Drive, Lake Buena Vista, FL, USA",,,pending,Disney Resort,Disney Resort
"Disney's BoardWalk Villas, Disney's Boardwalk Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Disney's Port Orleans Resort - Riverside, Riverside Drive, Lake Buena Vista, FL, USA",,,pending,Disney Resort,Disney Resort
Disney's BoardWalk Villas,"Disney's Port Orleans Resort - French Quarter, Orleans Drive, Lake Buena Vista, FL, USA",,,pending,Disney Resort,Disney Resort
