trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
cruise,Port Canaveral Area,MCO Terminal,midday,weekday,7,57,,2026-07-31 20:25:27
arrival,SFB Terminal,Disney Resort,morning_rush,weekend,7,91,,2026-07-31 20:25:26
cruise,Airport Hotel,Port Canaveral Area,morning_rush,weekday,7,52,,2026-07-31 20:25:26
cruise,Port Canaveral Area,Airport Hotel,morning_rush,weekday,7,57,,2026-07-31 20:25:26
arrival,MCO Terminal,Residential,midday,weekend,6,,,2026-05-23 18:33:33
return,Disney Resort,SFB Terminal,afternoon,weekend,6,68,,2026-07-31 20:25:24
arrival,MCO Terminal,Other Hotel,afternoon,weekday,6,86,,2026-07-31 20:25:27
cruise,Other Hotel,Port Canaveral Area,midday,weekend,6,76,,2026-07-31 20:25:25
return,Residential,MCO Terminal,early_morning,weekday,6,36,,2026-07-31 20:25:26
other,Disney Resort,Universal Resort,afternoon,weekday,6,46,,2026-07-31 20:25:26
arrival,MCO Terminal,Universal Resort,night,weekday,6,,,2026-07-31 20:25:25
other,Disney Resort,Universal Resort,evening,weekday,6,26,,2026-07-31 20:25:24
return,Disney Resort,SFB Terminal,night,weekend,6,55,,2026-07-31 20:25:25
other,Disney Resort,Disney Resort,morning_rush,weekday,5,24,,2026-07-31 20:25:26
return,Disney Resort,MCO Terminal,midday,holiday,5,,,2026-02-10 22:31:26
return,Disney Resort,MCO Terminal,afternoon,holiday,5,,,2026-02-10 22:31:26
return,Residential,MCO Terminal,morning_rush,weekday,5,70,,2026-07-31 20:25:27
cruise,Port Canaveral Area,Other Hotel,morning_rush,weekday,5,81,,2026-07-31 20:25:28
arrival,MCO Terminal,Other Hotel,midday,weekday,5,,,2026-07-31 20:25:26
return,Disney Resort,SFB Terminal,night,weekday,5,59,,2026-07-31 20:25:27
arrival,MCO Terminal,Port Canaveral Area,midday,weekday,5,89,,2026-07-31 20:25:27
other,Disney Resort,MCO Terminal,evening,weekend,5,,,2026-05-23 18:33:37
other,Airport Hotel,Disney Resort,midday,weekend,5,35,,2026-07-31 20:25:27
arrival,MCO Terminal,Port Canaveral Area,afternoon,weekend,5,98,,2026-07-31 20:25:27
cruise,Port Canaveral Area,Universal Resort,morning_rush,weekend,5,83,,2026-07-31 20:25:26
return,Other Hotel,MCO Terminal,midday,weekday,4,60,,2026-07-31 20:25:27
arrival,MCO Terminal,Other Hotel,morning_rush,weekend,4,,,2026-05-23 18:33:39
cruise,Other Hotel,Port Canaveral Area,morning_rush,weekend,4,,,2026-05-23 18:33:35
arrival,MCO Terminal,Residential,evening,weekday,4,,,2026-07-31 20:25:25
arrival,MCO Terminal,Residential,afternoon,weekday,4,,,2026-07-31 20:25:26
return,Universal Resort,MCO Terminal,evening,weekday,4,30,,2026-07-31 20:25:24
cruise,Port Canaveral Area,MCO Terminal,morning_rush,holiday,4,,,2026-02-10 22:31:26
return,Other Hotel,MCO Terminal,afternoon,weekend,4,,,2026-05-23 18:33:32
other,Other,Disney Resort,evening,weekday,4,,,2026-05-23 18:33:38
other,MCO Terminal,Disney Resort,midday,weekend,4,,,2026-05-23 18:33:38
arrival,MCO Terminal,Universal Resort,early_morning,weekday,4,,,2026-07-31 20:25:27
arrival,MCO Terminal,Other,afternoon,weekday,4,,,2026-05-23 18:33:34
